"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Users\user\AppData\Local\Temp\deference_bandit_exp0\experiment_0_bandit_base.nlogox"
"experiment-0-bandit-main-final"
"08/01/2026 08:59:56:478 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","run-seed","world-mode","peer-sharing?","[step]","actual-seed","hidden-world","ticks","expert-total-pulls","total-lay-pulls","expert-truth-mass-at-25","expert-recommendation-score-at-25","expert-informative-observations-at-25","mean-lay-truth-mass-at-25","mean-lay-recommendation-score-at-25","mean-lay-informative-observations-at-25","mean-lay-archive-size-at-25","mean-lay-posterior-truth-mass","cumulative-lay-correct-choice-rate","mean-lay-cumulative-regret","mean-lay-realized-payoff","mean-lay-b-pulls","mean-lay-informative-observations","final-window-wrong-choice-rate","finite-horizon-error-persistence-rate","run-finite-horizon-persistent-error?","expert-posterior-truth-mass","expert-recommendation-accuracy","expert-thompson-correct-rate","expert-cumulative-regret","expert-b-pull-rate","lay-a-reward-rate","lay-b-reward-rate","expert-a-reward-rate","expert-b-reward-rate","mean-peer-messages-received","mean-unique-evidence-count","duplicate-message-count","maximum-belief-identity-error","maximum-regret-identity-error","network-structure-valid?","message-accounting-valid?","evidence-provenance-valid?"
"1","310001","B-good","true","500","310001","B-good","500","125","5000","0.8814994686598715","1","62","0.6476607262459142","0.75","45.6","75","0.9999992043505692","0.9144","2.140000000000001","0.5384","457.2","1369.6","0","0","false","0.8814994686598715","1","0.496","3.1499999999999977","0.496","0.5163551401869159","0.5404636920384952","0.5079365079365079","0.5806451612903226","998","1498","0","6.039613253960852E-14","1.0658141036401503E-14","true","true","true"
"2","310002","B-good","true","500","310002","B-good","500","125","5000","0.9612361174447144","1","78","0.9211563292584991","1","54.3","75","0.9999999953293808","0.9082","2.294999999999998","0.544","454.1","1360.3","0","0","false","0.9612361174447144","1","0.624","2.3500000000000005","0.624","0.49019607843137253","0.5494384496806871","0.574468085106383","0.6025641025641025","998","1498","0","8.526512829121202E-14","2.5757174171303632E-14","true","true","true"
"3","310003","B-good","true","500","310003","B-good","500","125","5000","0.9783898101507787","1","97","0.5825660810712302","0.5","34.5","75","0.9999962071720068","0.8702","3.244999999999996","0.5404","435.1","1303.3","0","0","false","0.9783898101507787","1","0.776","1.4000000000000012","0.776","0.4915254237288136","0.5476901861641003","0.4642857142857143","0.5979381443298969","998","1498","0","7.105427357601002E-14","2.6645352591003757E-14","true","true","true"
"4","310004","B-good","true","500","310004","B-good","500","125","5000","0.9934177025814358","1","113","0.5437501068052406","0.55","43.2","75","0.9999999998645628","0.9486","1.2850000000000008","0.547","474.3","1420.9","0","0","false","0.9934177025814358","1","0.904","0.6000000000000005","0.904","0.44357976653696496","0.5526038372338182","0.6666666666666666","0.6106194690265486","998","1498","0","9.947598300641403E-14","1.3322676295501878E-15","true","true","true"
"7","310007","B-good","true","500","310007","B-good","500","125","5000","0.4009900990099009","0","74","0.7496356756409674","1","45.9","75","0.9999999999996293","0.9446","1.3849999999999993","0.5554","472.3","1414.9","0","0","false","0.4009900990099009","0","0.592","2.55","0.592","0.4729241877256318","0.5602371374126615","0.49019607843137253","0.4864864864864865","998","1498","0","9.947598300641403E-14","8.881784197001252E-15","true","true","true"
"8","310008","B-good","true","500","310008","B-good","500","125","5000","0.6905480615036318","1","84","0.6351245486146222","0.8","34.5","75","0.9999999998332886","0.9502","1.245000000000001","0.5478","475.1","1423.3","0","0","false","0.6905480615036318","1","0.672","2.0500000000000016","0.672","0.5060240963855421","0.5499894758998106","0.5609756097560976","0.5238095238095238","998","1498","0","8.526512829121202E-14","8.881784197001252E-16","true","true","true"
"5","310005","B-good","true","500","310005","B-good","500","125","5000","0.9680589764391282","1","107","0.5764553474133962","0.6","34.8","75","0.9999999998945583","0.9354","1.614999999999999","0.5576","467.7","1401.1","0","0","false","0.9680589764391282","1","0.856","0.9000000000000008","0.856","0.4582043343653251","0.5644644002565747","0.4444444444444444","0.5794392523364486","998","1498","0","1.2079226507921703E-13","2.042810365310288E-14","true","true","true"
"6","310006","B-good","true","500","310006","B-good","500","125","5000","0.7317174011812813","1","91","0.6371513635952938","0.85","40.2","75","0.999999999996418","0.9658","0.8550000000000006","0.5506","482.9","1446.7","0","0","false","0.7317174011812813","1","0.728","1.7000000000000015","0.728","0.4502923976608187","0.5541519983433423","0.5","0.5274725274725275","998","1498","0","8.526512829121202E-14","0","true","true","true"
"9","310009","B-good","true","500","310009","B-good","500","125","5000","0.2682825988187187","0","45","0.6970122813970782","0.75","47.1","75","0.9999999999990903","0.9496","1.2599999999999998","0.5498","474.8","1422.4","0","0","false","0.2682825988187187","0","0.36","3.9999999999999947","0.36","0.4642857142857143","0.5543386689132266","0.4875","0.4444444444444444","998","1498","0","8.526512829121202E-14","1.0658141036401503E-14","true","true","true"
"10","310010","B-good","true","500","310010","B-good","500","125","5000","0.5","0.5","68","0.788096178446692","0.9","48.3","75","0.9999999999976039","0.9716","0.7100000000000004","0.5536","485.8","1455.4","0","0","false","0.5","0.5","0.544","2.8499999999999988","0.544","0.49295774647887325","0.5553725813091808","0.45614035087719296","0.5","998","1498","0","9.947598300641403E-14","3.552713678800501E-15","true","true","true"
