"world","policy","ticks","correct_choice_rate","correct_ci_low","correct_ci_high","b_share","truth_mass","post_regret","n_runs"
"B-bad","No Deference",0,0,0,0,0,0.5,0,200
"B-bad","No Deference",5,0.5055,0.482077154175193,0.528922845824807,0.4945,0.535705091944473,0,200
"B-bad","No Deference",10,0.5715,0.549602947537793,0.593397052462207,0.4285,0.563277775527802,0,200
"B-bad","No Deference",15,0.572,0.547373370461794,0.596626629538206,0.428,0.593586744307876,0,200
"B-bad","No Deference",20,0.6165,0.595256264369994,0.637743735630006,0.3835,0.610837011603697,0,200
"B-bad","No Deference",25,0.608,0.584324567193123,0.631675432806877,0.392,0.62584040228883,0,200
"B-bad","No Deference",26,0.622,0.596525682891178,0.647474317108822,0.378,0.627043263571201,0.0189,200
"B-bad","No Deference",30,0.6335,0.6088296095934,0.6581703904066,0.3665,0.637724023206785,0.092325,200
"B-bad","No Deference",35,0.653,0.630991597584458,0.675008402415542,0.347,0.656661075667395,0.180925,200
"B-bad","No Deference",40,0.6575,0.633297280978365,0.681702719021635,0.3425,0.671858220067749,0.265525,200
"B-bad","No Deference",45,0.664,0.638644175795184,0.689355824204816,0.336,0.688690919854929,0.34815,200
"B-bad","No Deference",50,0.691,0.664630896867735,0.717369103132264,0.309,0.700324055944262,0.4261,200
"B-bad","No Deference",55,0.711,0.687185139726439,0.734814860273561,0.289,0.713000057653696,0.49875,200
"B-bad","No Deference",60,0.721,0.696831103671273,0.745168896328727,0.279,0.724368551429672,0.56835,200
"B-bad","No Deference",65,0.74,0.717169710677419,0.762830289322581,0.26,0.738158009369899,0.636,200
"B-bad","No Deference",70,0.747,0.723963059422836,0.770036940577164,0.253,0.747541902167809,0.70025,200
"B-bad","No Deference",75,0.7575,0.736045578286626,0.778954421713374,0.2425,0.755768312762045,0.761975,200
"B-bad","No Deference",80,0.7565,0.736385841832332,0.776614158167668,0.2435,0.766002352338707,0.82265,200
"B-bad","No Deference",85,0.7645,0.744806776973643,0.784193223026357,0.2355,0.773065695455893,0.88015,200
"B-bad","No Deference",90,0.771,0.749181883144607,0.792818116855393,0.229,0.781260808397062,0.937575,200
"B-bad","No Deference",95,0.7835,0.760552583114683,0.806447416885317,0.2165,0.789851290523135,0.991725,200
"B-bad","No Deference",100,0.777,0.756452269856007,0.797547730143993,0.223,0.795277193815832,1.044025,200
"B-bad","No Deference",105,0.8055,0.783921764221872,0.827078235778128,0.1945,0.801040173748245,1.0954,200
"B-bad","No Deference",110,0.809,0.787828516571748,0.830171483428252,0.191,0.809965363266588,1.144875,200
"B-bad","No Deference",115,0.8155,0.79584602657586,0.83515397342414,0.1845,0.818203358544966,1.19265,200
"B-bad","No Deference",120,0.83,0.811725202020103,0.848274797979896,0.17,0.822858859569117,1.237375,200
"B-bad","No Deference",125,0.8215,0.801906033591996,0.841093966408004,0.1785,0.828043968622198,1.280875,200
"B-bad","No Deference",130,0.835,0.817660220886687,0.852339779113313,0.165,0.830824485724617,1.3239,200
"B-bad","No Deference",135,0.836,0.819557964399948,0.852442035600052,0.164,0.837356780809654,1.3653,200
"B-bad","No Deference",140,0.8385,0.820295186952609,0.856704813047391,0.1615,0.844462509353937,1.4043,200
"B-bad","No Deference",145,0.8465,0.828021537676277,0.864978462323723,0.1535,0.849020021153615,1.443525,200
"B-bad","No Deference",150,0.846,0.828379161719471,0.863620838280529,0.154,0.851513340624173,1.4799,200
"B-bad","No Deference",155,0.85,0.832315733932909,0.867684266067091,0.15,0.85513211272101,1.518825,200
"B-bad","No Deference",160,0.869,0.852420582112528,0.885579417887472,0.131,0.859258414013131,1.5543,200
"B-bad","No Deference",165,0.856,0.838335394045788,0.873664605954212,0.144,0.859755624775207,1.58965,200
"B-bad","No Deference",170,0.8715,0.855096902425144,0.887903097574856,0.1285,0.863642541852149,1.62305,200
"B-bad","No Deference",175,0.858,0.840849964824157,0.875150035175843,0.142,0.867616571855854,1.65675,200
"B-bad","No Deference",180,0.8685,0.852262501925525,0.884737498074475,0.1315,0.871987403715579,1.690475,200
"B-bad","No Deference",185,0.861,0.843164102822098,0.878835897177902,0.139,0.873205514978919,1.7229,200
"B-bad","No Deference",190,0.8775,0.862252087217553,0.892747912782447,0.1225,0.876104852197094,1.753075,200
"B-bad","No Deference",195,0.8805,0.863500474201116,0.897499525798884,0.1195,0.879868658819329,1.784,200
"B-bad","No Deference",200,0.886,0.870588223780785,0.901411776219215,0.114,0.88254875566507,1.813025,200
"B-bad","No Deference",205,0.8885,0.87480341193497,0.90219658806503,0.1115,0.886706514742225,1.8423,200
"B-bad","No Deference",210,0.894,0.879652058365545,0.908347941634455,0.106,0.888800666466172,1.87045,200
"B-bad","No Deference",215,0.8915,0.876293924052253,0.906706075947747,0.1085,0.887990864928234,1.899975,200
"B-bad","No Deference",220,0.898,0.882909733311047,0.913090266688953,0.102,0.889410738245632,1.927125,200
"B-bad","No Deference",225,0.893,0.878394032746956,0.907605967253044,0.107,0.89327538658238,1.95545,200
"B-bad","No Deference",230,0.897,0.881849089849387,0.912150910150613,0.103,0.894597293064856,1.981675,200
"B-bad","No Deference",235,0.8915,0.876104672705247,0.906895327294753,0.1085,0.89763663186982,2.007975,200
"B-bad","No Deference",240,0.911,0.897330747117276,0.924669252882724,0.089,0.898953098909875,2.03295,200
"B-bad","No Deference",245,0.8915,0.877142811336071,0.905857188663929,0.1085,0.902076207100329,2.05825,200
"B-bad","No Deference",250,0.905,0.89091618056601,0.91908381943399,0.095,0.902762347843451,2.082425,200
"B-bad","No Deference",255,0.9105,0.896303719150786,0.924696280849214,0.0895,0.905415291308423,2.106075,200
"B-bad","No Deference",260,0.9045,0.889581008090424,0.919418991909576,0.0955,0.907413495523053,2.12935,200
"B-bad","No Deference",265,0.9125,0.897669258126357,0.927330741873643,0.0875,0.907683039412977,2.15335,200
"B-bad","No Deference",270,0.912,0.898136529037226,0.925863470962774,0.088,0.909571317043506,2.175825,200
"B-bad","No Deference",275,0.916,0.901937442279292,0.930062557720708,0.084,0.911986447917315,2.198425,200
"B-bad","No Deference",280,0.9095,0.895495389201478,0.923504610798522,0.0905,0.914295899359255,2.21955,200
"B-bad","No Deference",285,0.9105,0.897811623726327,0.923188376273673,0.0895,0.915874802176945,2.241675,200
"B-bad","No Deference",290,0.9155,0.901256204630343,0.929743795369657,0.0845,0.91855273632311,2.262625,200
"B-bad","No Deference",295,0.9165,0.902277905857116,0.930722094142884,0.0835,0.920064626248673,2.282025,200
"B-bad","No Deference",300,0.9285,0.917095218229349,0.939904781770651,0.0715,0.922859864408594,2.301425,200
"B-bad","No Deference",305,0.9175,0.905194722707463,0.929805277292537,0.0825,0.923856377792481,2.3209,200
"B-bad","No Deference",310,0.921,0.907703003248362,0.934296996751638,0.079,0.924547938531364,2.339775,200
"B-bad","No Deference",315,0.9245,0.911728218998521,0.937271781001479,0.0755,0.926920369446508,2.358125,200
