"world","policy","metric","n_runs","mean","sd","se"
"B-good","No Deference","post_regret",500,1.7222,1.52913199211141,0.0683848616186157
"B-good","No Deference","early_wrong_rate",500,0.315904,0.136066671386215,0.00608508653383405
"B-good","No Deference","post_correct_rate",500,0.927486315789474,0.0643845049310066,0.00287936259446802
"B-good","No Deference","late_correct_rate",500,0.994092,0.0305080484140837,0.00136436140229491
"B-good","No Deference","final_brier",500,0.0036820777013641,0.0229150520968834,0.00102479228393161
"B-good","C-Preemption","post_regret",500,1.51888,2.45978304141274,0.110004841810001
"B-good","C-Preemption","early_wrong_rate",500,0.242592,0.25490661093152,0.0113997701991394
"B-good","C-Preemption","post_correct_rate",500,0.936047157894737,0.10356981227001,0.00463178281305266
"B-good","C-Preemption","late_correct_rate",500,0.990264,0.052161248986116,0.00233272197048495
"B-good","C-Preemption","final_brier",500,0.00638187972760416,0.0409544519961952,0.00183153877289489
"B-good","C-Total Evidence","post_regret",500,1.11308,2.00118071700791,0.089495522369829
"B-good","C-Total Evidence","early_wrong_rate",500,0.186032,0.204893322299791,0.00916310793596213
"B-good","C-Total Evidence","post_correct_rate",500,0.953133473684211,0.0842602407161221,0.00376823252083489
"B-good","C-Total Evidence","late_correct_rate",500,0.994244,0.0400119779661231,0.0017893900529295
"B-good","C-Total Evidence","final_brier",500,0.00357863894936646,0.0288558889762506,0.00129047458604166
"B-bad","No Deference","post_regret",500,2.74326,1.04981431338364,0.0469491233695619
"B-bad","No Deference","early_wrong_rate",500,0.317976,0.0986948061121101,0.0044137659098568
"B-bad","No Deference","post_correct_rate",500,0.884494315789474,0.0442027079319429,0.00197680519450787
"B-bad","No Deference","late_correct_rate",500,0.950256,0.0385049051347861,0.00172199170697125
"B-bad","No Deference","final_brier",500,0.0103578648223258,0.0236045673512634,0.00105562834353794
"B-bad","C-Preemption","post_regret",500,2.50506,1.28233418355616,0.0573477280860652
"B-bad","C-Preemption","early_wrong_rate",500,0.283016,0.177098841733894,0.00792010097706929
"B-bad","C-Preemption","post_correct_rate",500,0.894523789473684,0.053993018254996,0.00241464118257116
"B-bad","C-Preemption","late_correct_rate",500,0.953096,0.0368931564655015,0.00164991211522794
"B-bad","C-Preemption","final_brier",500,0.0089289274324002,0.0214930245140958,0.000961197277111754
"B-bad","C-Total Evidence","post_regret",500,2.02678,1.20771792931694,0.0540107877519591
"B-bad","C-Total Evidence","early_wrong_rate",500,0.210232,0.158389218272362,0.00708338117920105
"B-bad","C-Total Evidence","post_correct_rate",500,0.914661894736842,0.0508512812343973,0.00227413843166144
"B-bad","C-Total Evidence","late_correct_rate",500,0.958652,0.0315882657495807,0.00141267019014781
"B-bad","C-Total Evidence","final_brier",500,0.00729518106114711,0.0166462523922129,0.00074444303839213
