"table_version","message_bin","lower","upper","midpoint","estimate_count_good","estimate_count_bad","estimate_n_good","estimate_n_bad","p_message_given_good","p_message_given_bad","message_lambda","lambda_mc_se","implied_p_good_given_message","estimate_seed_namespace_good","estimate_seed_namespace_bad","parameter_signature"
"prehash-v1",0,0,0.1,0.05,496,5920,50000,50000,0.00992900709929007,0.118398160183982,-2.47859270028578,0.046292627315363,0.0773726040205704,"1000001-1050000","1100001-1150000","pA=.50|pB=.55/.45|prior=.50|Thompson|25x5|deciles|Jeffreys=.5"
"prehash-v1",1,0.1,0.2,0.15,2968,15841,50000,50000,0.0593640635936406,0.316798320167983,-1.67457630414391,0.0189736609081221,0.157814992025518,"1000001-1050000","1100001-1150000","pA=.50|pB=.55/.45|prior=.50|Thompson|25x5|deciles|Jeffreys=.5"
"prehash-v1",2,0.2,0.3,0.25,2727,7986,50000,50000,0.0545445455454455,0.15971402859714,-1.07436717752279,0.0212567967322445,0.254573455292141,"1000001-1050000","1100001-1150000","pA=.50|pB=.55/.45|prior=.50|Thompson|25x5|deciles|Jeffreys=.5"
"prehash-v1",3,0.3,0.4,0.35,3132,6647,50000,50000,0.0626437356264374,0.132936706329367,-0.752409436346952,0.0207284908231528,0.320296523517382,"1000001-1050000","1100001-1150000","pA=.50|pB=.55/.45|prior=.50|Thompson|25x5|deciles|Jeffreys=.5"
"prehash-v1",4,0.4,0.5,0.45,3304,4609,50000,50000,0.0660833916608339,0.0921807819218078,-0.332834215328142,0.0218989705589937,0.417551175132676,"1000001-1050000","1100001-1150000","pA=.50|pB=.55/.45|prior=.50|Thompson|25x5|deciles|Jeffreys=.5"
"prehash-v1",5,0.5,0.6,0.55,5356,4275,50000,50000,0.107119288071193,0.0855014498550145,0.225409722106603,0.0195085581723518,0.556115033222591,"1000001-1050000","1100001-1150000","pA=.50|pB=.55/.45|prior=.50|Thompson|25x5|deciles|Jeffreys=.5"
"prehash-v1",6,0.6,0.7,0.65,3472,1674,50000,50000,0.0694430556944306,0.0334866513348665,0.729360182394239,0.029071879083415,0.674664853312609,"1000001-1050000","1100001-1150000","pA=.50|pB=.55/.45|prior=.50|Thompson|25x5|deciles|Jeffreys=.5"
"prehash-v1",7,0.7,0.8,0.75,3290,1156,50000,50000,0.0658034196580342,0.0231276872312769,1.04564132622468,0.0335944502658229,0.739937036204182,"1000001-1050000","1100001-1150000","pA=.50|pB=.55/.45|prior=.50|Thompson|25x5|deciles|Jeffreys=.5"
"prehash-v1",8,0.8,0.9,0.85,6427,1172,50000,50000,0.128537146285371,0.0234476552344766,1.70144743881961,0.0311201534414918,0.845723684210526,"1000001-1050000","1100001-1150000","pA=.50|pB=.55/.45|prior=.50|Thompson|25x5|deciles|Jeffreys=.5"
"prehash-v1",9,0.9,1,0.95,18828,720,50000,50000,0.376532346765323,0.0144085591440856,3.26318154292175,0.0374304692333705,0.96314389482838,"1000001-1050000","1100001-1150000","pA=.50|pB=.55/.45|prior=.50|Thompson|25x5|deciles|Jeffreys=.5"
