"message_bin","midpoint","heldout_count_good","heldout_count_bad","heldout_p_message_given_good","heldout_p_message_given_bad","frozen_implied_p_good","heldout_empirical_p_good","wilson_low","wilson_high","absolute_calibration_gap"
0,0.05,91,1176,0.0091,0.1176,0.0773726040205704,0.0718232044198895,0.0588631203194954,0.0873718467023941,0.00554939960068089
1,0.15,607,3094,0.0607,0.3094,0.157814992025518,0.164009727100784,0.152429657717159,0.176286556554626,0.00619473507526525
2,0.25,515,1606,0.0515,0.1606,0.254573455292141,0.242809995285243,0.225037613840615,0.261512314168831,0.0117634600068983
3,0.35,626,1308,0.0626,0.1308,0.320296523517382,0.323681489141675,0.303196436515189,0.344865587911183,0.00338496562429291
4,0.45,674,941,0.0674,0.0941,0.417551175132676,0.41733746130031,0.393511424263162,0.441555809439572,0.000213713832366735
5,0.55,1015,863,0.1015,0.0863,0.556115033222591,0.540468583599574,0.517869398968846,0.56290254878878,0.0156464496230173
6,0.65,693,373,0.0693,0.0373,0.674664853312609,0.650093808630394,0.620970447796254,0.678139291653124,0.0245710446822153
7,0.75,695,241,0.0695,0.0241,0.739937036204182,0.742521367521368,0.713558405751131,0.769501790986387,0.00258433131718505
8,0.85,1288,260,0.1288,0.026,0.845723684210526,0.832041343669251,0.81260188650819,0.849836917505474,0.0136823405412757
9,0.95,3796,138,0.3796,0.0138,0.96314389482838,0.964921199796645,0.958703500882067,0.970231815141422,0.00177730496826456
