"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Users\user\AppData\Local\Temp\codex_exp2_opaque\model_frozen_v2.nlogox"
"experiment-2-opaque-main-final"
"08/01/2026 17:05:05:071 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","run-seed","world-mode","peer-sharing?","credence-policy","[step]","actual-seed","hidden-world","ticks","report-table-version","expert-total-pulls","total-lay-pulls","expert-truth-mass-at-25","expert-recommendation-score-at-25","expert-informative-observations-at-25","mean-lay-truth-mass-at-25","mean-lay-llr-at-25","mean-lay-recommendation-score-at-25","mean-lay-informative-observations-at-25","mean-lay-archive-size-at-25","mean-lay-cumulative-regret-at-25","private-expert-q-at-intervention","private-expert-llr-at-intervention","broadcast-message-bin","broadcast-message-midpoint","broadcast-message-llr","broadcast-message-mode","expert-report-direction-accuracy","credence-message-count","expert-raw-items-transmitted","inbox-empty-at-intervention?","maximum-message-bin-copy-error","maximum-message-llr-copy-error","maximum-immediate-policy-formula-error","mean-received-message-bin-post-intervention","received-bin-dispersion-post-intervention","mean-received-message-llr-post-intervention","received-message-llr-dispersion-post-intervention","mean-lay-truth-mass-post-intervention","lay-q-dispersion-post-intervention","mean-lay-local-archive-size-post-intervention","mean-lay-active-decision-inputs-post-intervention","mean-lay-post-intervention-regret","early-window-wrong-choice-rate","post-intervention-correct-choice-rate","final-window-correct-choice-rate","final-window-wrong-choice-rate","mean-lay-final-brier-score","mean-lay-posterior-truth-mass","mean-lay-q","mean-lay-cumulative-regret","mean-lay-realized-payoff","post-intervention-realized-payoff","mean-lay-b-pulls","maximum-local-ledger-identity-error","maximum-regret-identity-error","maximum-decision-decomposition-error","network-structure-valid?","message-accounting-valid?","evidence-provenance-valid?","credence-payload-valid?","credence-intervention-valid?"
"3","510003","B-good","true","No Deference","500","510003","B-good","500","sha256:2708886b9a088082","125","5000","0.8814994686598715","1","58","0.7240922728839163","1.1438229641342619","0.8","50.7","75","0.40500000000000036","0.8814994686598715","2.006706954621513","8","0.8500000000000001","1.70144743881961","Coarse","1","1","0","true","0","0","0","8","0","1.70144743881961","0","0.7240922728839163","0.19742062326779877","75","75","1.1949999999999998","0.376","0.9496842105263158","1","0","1.5844913768023862E-16","0.9999999950374449","0.9999999950374449","1.6000000000000003","0.546","0.5465263157894736","468","7.105427357601002E-14","6.217248937900877E-15","7.105427357601002E-15","true","true","true","true","true"
"4","510004","B-good","true","No Deference","500","510004","B-good","500","sha256:2708886b9a088082","125","5000","0.9314206186232206","1","109","0.5908769223413721","0.4214084604705176","0.65","38.1","75","0.6150000000000005","0.9314206186232206","2.608719041007966","9","0.9500000000000001","3.26318154292175","Coarse","1","1","0","true","0","0","0","9","0","3.2631815429217506","4.681111291435602E-16","0.5908769223413721","0.2362784315745599","75","75","1.009999999999999","0.244","0.9574736842105264","1","0","1.8320501864980557E-22","0.9999999999930946","0.9999999999930946","1.6249999999999993","0.5478","0.5503157894736842","467.5","8.526512829121202E-14","1.865174681370263E-14","7.105427357601002E-15","true","true","true","true","true"
"2","510002","B-good","true","No Deference","500","510002","B-good","500","sha256:2708886b9a088082","125","5000","0.55","1","39","0.6803443897260898","0.8428169209410352","0.85","40.8","75","0.5700000000000005","0.55","0.2006706954621512","5","0.55","0.225409722106603","Coarse","1","1","0","true","0","0","0","5","0","0.22540972210660298","2.925694557147251E-17","0.6803443897260898","0.16716989520604644","75","75","0.7349999999999997","0.308","0.9690526315789474","1","0","2.1930387695154202E-24","0.9999999999995246","0.9999999999995246","1.3050000000000002","0.562","0.5652631578947368","473.9","1.0658141036401503E-13","1.0658141036401503E-14","0","true","true","true","true","true"
"1","510001","B-good","true","No Deference","500","510001","B-good","500","sha256:2708886b9a088082","125","5000","0.5990099009900991","1","74","0.4274901215314399","-0.3612072518318723","0.3","26.4","75","0.8100000000000007","0.5990099009900991","0.40134139092430254","5","0.55","0.225409722106603","Coarse","1","1","0","true","0","0","0","5","0","0.22540972210660298","2.925694557147251E-17","0.4274901215314399","0.2585078088448557","75","75","2.3699999999999957","0.476","0.9002105263157895","1","0","9.212373051102093E-18","0.9999999990370767","0.9999999990370767","3.179999999999996","0.5538","0.5562105263157895","436.4","7.815970093361102E-14","2.398081733190338E-14","1.4210854715202004E-14","true","true","true","true","true"
"6","510006","B-good","true","No Deference","500","510006","B-good","500","sha256:2708886b9a088082","125","5000","0.646116504854369","1","79","0.457618176789528","-0.1806036259159361","0.3","39.3","75","0.5950000000000006","0.646116504854369","0.6020120863864538","6","0.6500000000000001","0.729360182394239","Coarse","1","1","0","true","0","0","0","6","0","0.729360182394239","0","0.457618176789528","0.13589265656746485","75","75","1.284999999999999","0.416","0.9458947368421052","1","0","2.284764615864813E-21","0.9999999999805427","0.9999999999805427","1.8799999999999997","0.5548","0.5587368421052632","462.4","9.237055564881302E-14","7.105427357601002E-15","7.105427357601002E-15","true","true","true","true","true"
"7","510007","B-good","true","No Deference","500","510007","B-good","500","sha256:2708886b9a088082","125","5000","0.646116504854369","1","101","0.6127903203019119","0.5418108777478085","0.65","36.3","75","0.6450000000000005","0.646116504854369","0.6020120863864538","6","0.6500000000000001","0.729360182394239","Coarse","1","1","0","true","0","0","0","6","0","0.729360182394239","0","0.6127903203019119","0.17168133074788477","75","75","0.8500000000000001","0.348","0.9642105263157895","1","0","8.298988102151326E-19","0.99999999969414","0.99999999969414","1.4950000000000006","0.5466","0.5477894736842105","470.1","8.526512829121202E-14","7.105427357601002E-15","0","true","true","true","true","true"
"5","510005","B-good","true","No Deference","500","510005","B-good","500","sha256:2708886b9a088082","125","5000","0.9431811237123936","1","114","0.6174287882389584","0.6020120863864538","0.6","42","75","0.5500000000000005","0.9431811237123936","2.8093897364701172","9","0.9500000000000001","3.26318154292175","Coarse","1","1","0","true","0","0","0","9","0","3.2631815429217506","4.681111291435602E-16","0.6174287882389584","0.2707843605405039","75","75","4.875000000000012","0.412","0.7947368421052632","0.998","0.002","2.908766537905441E-6","0.9994487640466335","0.9994487640466335","5.425000000000013","0.5366","0.5364210526315789","391.5","7.105427357601002E-14","8.881784197001252E-14","7.105427357601002E-15","true","true","true","true","true"
"8","510008","B-good","true","No Deference","500","510008","B-good","500","sha256:2708886b9a088082","125","5000","0.9009100727155935","1","103","0.5482826422415521","0.24080483455458154","0.55","46.8","75","0.4700000000000005","0.9009100727155935","2.207377650083664","9","0.9500000000000001","3.26318154292175","Coarse","1","1","0","true","0","0","0","9","0","3.2631815429217506","4.681111291435602E-16","0.5482826422415521","0.22786154404958683","75","75","1.114999999999999","0.316","0.9530526315789474","1","0","1.0706976444302833E-22","0.9999999999951539","0.9999999999951539","1.5849999999999995","0.5532","0.5536842105263158","468.3","7.815970093361102E-14","7.993605777301127E-15","7.105427357601002E-15","true","true","true","true","true"
"10","510010","B-good","true","No Deference","500","510010","B-good","500","sha256:2708886b9a088082","125","5000","0.9174389747697416","1","58","0.5658024217398192","0.3010060431932269","0.65","39.3","75","0.5950000000000005","0.9174389747697416","2.408048345545815","9","0.9500000000000001","3.26318154292175","Coarse","1","1","0","true","0","0","0","9","0","3.2631815429217506","4.681111291435602E-16","0.5658024217398192","0.187687250358774","75","75","1.065","0.38","0.9551578947368421","1","0","3.767649002542912E-19","0.9999999997685645","0.9999999997685645","1.6600000000000006","0.5458","0.5473684210526316","466.8","7.815970093361102E-14","6.217248937900877E-15","7.105427357601002E-15","true","true","true","true","true"
"11","510011","B-good","true","No Deference","500","510011","B-good","500","sha256:2708886b9a088082","125","5000","0.9822491904206395","1","110","0.5080224124145176","0.3010060431932266","0.45","35.1","75","0.6650000000000007","0.9822491904206395","4.013413909243024","9","0.9500000000000001","3.26318154292175","Coarse","1","1","0","true","0","0","0","9","0","3.2631815429217506","4.681111291435602E-16","0.5080224124145176","0.33353313387642697","75","75","4.110000000000023","0.372","0.8269473684210527","0.9319999999999999","0.068","0.0027967714059446815","0.9831668766652044","0.9831668766652044","4.775000000000024","0.5218","0.5229473684210526","404.5","4.618527782440651E-14","1.4566126083082054E-13","7.993605777301127E-15","true","true","true","true","true"
