"world","policy","ticks","correct_share","post_regret","mean_q"
"B-bad","C-Preemption",0,0,0,0.5
"B-good","C-Preemption",0,0,0,0.5
"B-bad","C-Total Evidence",0,0,0,0.5
"B-good","C-Total Evidence",0,0,0,0.5
"B-bad","No Deference",0,0,0,0.5
"B-good","No Deference",0,0,0,0.5
"B-bad","C-Preemption",5,0.5305,0,0.461765014780156
"B-good","C-Preemption",5,0.5355,0,0.537290682225751
"B-bad","C-Total Evidence",5,0.5305,0,0.461765014780156
"B-good","C-Total Evidence",5,0.5355,0,0.537290682225751
"B-bad","No Deference",5,0.5305,0,0.461765014780156
"B-good","No Deference",5,0.5355,0,0.537290682225751
"B-bad","C-Preemption",10,0.5545,0,0.435601642604294
"B-good","C-Preemption",10,0.5675,0,0.570682237026066
"B-bad","C-Total Evidence",10,0.5545,0,0.435601642604294
"B-good","C-Total Evidence",10,0.5675,0,0.570682237026066
"B-bad","No Deference",10,0.5545,0,0.435601642604294
"B-good","No Deference",10,0.5675,0,0.570682237026066
"B-bad","C-Preemption",15,0.589,0,0.405331283830557
"B-good","C-Preemption",15,0.5805,0,0.587594222752292
"B-bad","C-Total Evidence",15,0.589,0,0.405331283830557
"B-good","C-Total Evidence",15,0.5805,0,0.587594222752292
"B-bad","No Deference",15,0.589,0,0.405331283830557
"B-good","No Deference",15,0.5805,0,0.587594222752292
"B-bad","C-Preemption",20,0.622,0,0.383920755160307
"B-good","C-Preemption",20,0.6135,0,0.615985277194773
"B-bad","C-Total Evidence",20,0.622,0,0.383920755160307
"B-good","C-Total Evidence",20,0.6135,0,0.615985277194773
"B-bad","No Deference",20,0.622,0,0.383920755160307
"B-good","No Deference",20,0.6135,0,0.615985277194773
"B-bad","C-Preemption",25,0.6355,0,0.362494746174409
"B-good","C-Preemption",25,0.633,0,0.635041158437916
"B-bad","C-Total Evidence",25,0.6355,0,0.362494746174409
"B-good","C-Total Evidence",25,0.633,0,0.635041158437916
"B-bad","No Deference",25,0.6355,0,0.362494746174409
"B-good","No Deference",25,0.633,0,0.635041158437916
"B-bad","C-Preemption",26,0.7105,0.014475,0.292949188423881
"B-good","C-Preemption",26,0.7235,0.013825,0.734167657588836
"B-bad","C-Total Evidence",26,0.779,0.01105,0.220224483422238
"B-good","C-Total Evidence",26,0.7765,0.011175,0.793625122512811
"B-bad","No Deference",26,0.6485,0.017575,0.360466892047313
"B-good","No Deference",26,0.6115,0.019425,0.638804559253028
"B-bad","C-Preemption",30,0.715,0.07175,0.288173754962131
"B-good","C-Preemption",30,0.725,0.0671000000000001,0.746083732225092
"B-bad","C-Total Evidence",30,0.7895,0.053675,0.217168696252615
"B-good","C-Total Evidence",30,0.7815,0.0526,0.801950525384361
"B-bad","No Deference",30,0.6565,0.0891,0.349762885651501
"B-good","No Deference",30,0.629,0.0909750000000001,0.656167459233704
"B-bad","C-Preemption",35,0.7115,0.142225,0.279151538067449
"B-good","C-Preemption",35,0.767,0.12925,0.76159194121865
"B-bad","C-Total Evidence",35,0.775,0.106425,0.21317870739681
"B-good","C-Total Evidence",35,0.8235,0.100825,0.815710068430347
"B-bad","No Deference",35,0.6475,0.174325,0.333975029393746
"B-good","No Deference",35,0.682,0.176225,0.677815336476323
"B-bad","C-Preemption",40,0.7405,0.21045,0.269955694073775
"B-good","C-Preemption",40,0.7695,0.187325,0.771644511024863
"B-bad","C-Total Evidence",40,0.806,0.158575,0.20526516158043
"B-good","C-Total Evidence",40,0.823,0.146575,0.823768991409896
"B-bad","No Deference",40,0.682,0.2561,0.317390542830515
"B-good","No Deference",40,0.691,0.255975,0.696863561245707
"B-bad","C-Preemption",45,0.7465,0.27605,0.253233327723058
"B-good","C-Preemption",45,0.7705,0.243075,0.781227813460736
"B-bad","C-Total Evidence",45,0.806,0.2085,0.19463223277573
"B-good","C-Total Evidence",45,0.822,0.1896,0.831940207493391
"B-bad","No Deference",45,0.6945,0.33295,0.298370107944172
"B-good","No Deference",45,0.711,0.329475,0.712484767494256
"B-bad","C-Preemption",50,0.759,0.339375,0.241421110580127
"B-good","C-Preemption",50,0.7905,0.297125,0.792747485267469
"B-bad","C-Total Evidence",50,0.811,0.25775,0.186738019980357
"B-good","C-Total Evidence",50,0.849,0.22965,0.843683633354879
"B-bad","No Deference",50,0.719,0.406625,0.283929530417687
"B-good","No Deference",50,0.7315,0.399025,0.730716257321103
"B-bad","C-Preemption",55,0.784,0.3978,0.228816697952192
"B-good","C-Preemption",55,0.8045,0.3486,0.802879950447705
"B-bad","C-Total Evidence",55,0.8085,0.304075,0.178691818554821
"B-good","C-Total Evidence",55,0.853,0.26885,0.852261974115406
"B-bad","No Deference",55,0.722,0.4754,0.275739304561365
"B-good","No Deference",55,0.7385,0.46675,0.740650601759095
"B-bad","C-Preemption",60,0.7785,0.454975,0.220644950114189
"B-good","C-Preemption",60,0.8105,0.39615,0.813616730785978
"B-bad","C-Total Evidence",60,0.8245,0.348125,0.172457889109369
"B-good","C-Total Evidence",60,0.86,0.304375,0.862099358527429
